,link,region,rating,ratingCount,lat,lon
Forest Park - Ridge Trail Loop Hike,http://www.wta.org/go-hiking/hikes/forest-park-ridge-trail-loop-hike,Southwest Washington -- Columbia River Gorge - OR,0.0,0,45.5824,-122.76799999999999
Fort Cascades Loop,http://www.wta.org/go-hiking/hikes/fort-cascades-loop,Southwest Washington -- Columbia River Gorge - WA,0.0,0,45.6455,-121.9573
Fort Casey State Park,http://www.wta.org/go-hiking/hikes/fort-casey-state-park,Puget Sound and Islands -- Bellingham Area,3.0,2,48.1725,-122.68299999999999
Fort Ebey State Park,http://www.wta.org/go-hiking/hikes/fort-ebey-state-park,Puget Sound and Islands -- Whidbey Island,3.67,3,48.2226,-122.764
Fort Flagler State Park,http://www.wta.org/go-hiking/hikes/fort-flagler,Olympic Peninsula -- Hood Canal,2.86,7,48.0948,-122.7228
Fort Spokane,http://www.wta.org/go-hiking/hikes/fort-spokane,Eastern Washington -- Spokane Area/Coeur d'Alene,0.0,0,,
Fort Steilacoom Park,http://www.wta.org/go-hiking/hikes/fort-steilacoom-park,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.2065,-122.4756
Fort Townsend Historical State Park,http://www.wta.org/go-hiking/hikes/fort-townsend-historical-sp,Olympic Peninsula -- Hood Canal,0.0,0,48.0747,-122.7896
Fort Ward State Park,http://www.wta.org/go-hiking/hikes/fort-ward-state-park,Olympic Peninsula -- Kitsap Peninsula,3.0,1,,
Fort Worden State Park - Point Wilson,http://www.wta.org/go-hiking/hikes/fort-worden-state-park-point-wilson,Olympic Peninsula -- Hood Canal,2.4,5,48.1438,-122.7551
Fortune Creek Pass,http://www.wta.org/go-hiking/hikes/fortune-creek-pass,Snoqualmie Region -- Salmon La Sac/Teanaway,0.0,0,47.4292,-120.9377
Fortune Peak via Esmeralda Basin (Esmerelda),http://www.wta.org/go-hiking/hikes/fortune-peak-via-esmeralda-basin-esmerelda-1394,Snoqualmie Region -- Salmon La Sac/Teanaway,0.0,0,47.4292,-120.9377
Fortune Ponds,http://www.wta.org/go-hiking/hikes/fortune-ponds,Central Cascades -- Stevens Pass - West,2.2,5,47.823,-121.2053
Foster and Marsh Island Loop,http://www.wta.org/go-hiking/hikes/foster-and-marsh-island-loop,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.6408,-122.2943
Foulweather Bluff Preserve Trail,http://www.wta.org/go-hiking/hikes/foulweather-bluff-preserve-trail,Olympic Peninsula -- Kitsap Peninsula,0.0,0,47.9255,-122.6008
Four Cedars Trail,http://www.wta.org/go-hiking/hikes/4-cedars-trail,Puget Sound and Islands -- Seattle-Tacoma Area,4.0,1,47.1204,-122.777
Four Springs Lake Preserve,http://www.wta.org/go-hiking/hikes/four-springs-lake-preserve,Puget Sound and Islands -- Bellingham Area,1.0,1,,
Fourth of July Creek to Icicle Ridge,http://www.wta.org/go-hiking/hikes/icicle-ridge,Central Cascades -- Leavenworth Area,2.75,8,47.5783,-120.7969
Fourth of July Pass,http://www.wta.org/go-hiking/hikes/fourth-of-july-pass,North Cascades -- North Cascades Highway - Hwy 20,3.2,5,48.6925,-121.0978
Fox Lakes,http://www.wta.org/go-hiking/hikes/fox-lakes,North Cascades,0.0,0,,
Fragrance Lake,http://www.wta.org/go-hiking/hikes/fragrance-lake,Puget Sound and Islands -- Bellingham Area,3.47,19,48.6534,-122.4902
Franklin Falls,http://www.wta.org/go-hiking/hikes/franklin-falls,Snoqualmie Region -- Snoqualmie Pass,4.15,41,47.413,-121.4416
Franklin Ghost Town,http://www.wta.org/go-hiking/hikes/franklin-ghost-town,Mount Rainier Area -- Chinook Pass - Hwy 410,1.75,4,47.3011,-121.9524
Fred's Railroad,http://www.wta.org/go-hiking/hikes/freds-railroad,Issaquah Alps -- Cougar Mountain,3.0,4,47.5301,-122.103
Freedom Peak,http://www.wta.org/go-hiking/hikes/freedom-peak,Snoqualmie Region -- Salmon La Sac/Teanaway,0.0,0,47.4033,-120.8386
Freezeout Ridge,http://www.wta.org/go-hiking/hikes/freezeout-ridge,North Cascades -- Pasayten,2.67,6,48.657,-119.9765
Fremont Lookout,http://www.wta.org/go-hiking/hikes/mount-fremont-lookout,Mount Rainier Area -- NE - Sunrise/White River,4.32,19,46.9146,-121.6423
French Cabin Creek,http://www.wta.org/go-hiking/hikes/french-cabin-creek,Snoqualmie Region -- Salmon La Sac/Teanaway,2.33,6,47.3329,-121.1803
French Cabin Mountain,http://www.wta.org/go-hiking/hikes/french-cabin-mountain,Snoqualmie Region -- Snoqualmie Pass,3.6,5,47.3507,-121.1364
French Creek,http://www.wta.org/go-hiking/hikes/french-creek,Southwest Washington -- Lewis River Region,3.0,4,46.2778,-121.7943
Frenchman Coulee,http://www.wta.org/go-hiking/hikes/frenchman-coulee,Central Washington -- Potholes Region,2.62,8,47.0259,-119.9805
Freund Canyon,http://www.wta.org/go-hiking/hikes/freund-canyon,Central Cascades -- Leavenworth Area,0.0,0,47.6286,-120.6558
Frog Lake - Crab Creek - Marsh Loop Trails,http://www.wta.org/go-hiking/hikes/frog-lake,Central Washington -- Potholes Region,3.0,4,46.9485,-119.2486
Frosty - Wildhorse Creek,http://www.wta.org/go-hiking/hikes/wildhorse-creek,Central Cascades -- Stevens Pass - East,3.75,4,,
Frosty Pass,http://www.wta.org/go-hiking/hikes/frosty-pass,Central Cascades -- Stevens Pass - East,0.0,0,,
Fuller Mountain,http://www.wta.org/go-hiking/hikes/fuller-mountain,Snoqualmie Region -- North Bend Area,3.0,3,47.5754,-121.7381
Gardner Cave,http://www.wta.org/go-hiking/hikes/gardner-cave,Eastern Washington -- Selkirk Range,5.0,3,48.9946,-117.3705
Gardner Mountain,http://www.wta.org/go-hiking/hikes/gardner-mountain,North Cascades -- Methow/Sawtooth,0.0,0,,
Garland Peak,http://www.wta.org/go-hiking/hikes/garland-peak,Central Cascades,2.8,5,47.9786,-120.7266
Gas Line Trail,http://www.wta.org/go-hiking/hikes/gas-line-trail,Issaquah Alps -- Tiger Mountain,2.0,2,47.4823,-121.9242
Gazzam Lake Nature Preserve,http://www.wta.org/go-hiking/hikes/gazzam-lake-close-beach,Olympic Peninsula -- Kitsap Peninsula,4.43,7,47.6097,-122.5637
Gee Point,http://www.wta.org/go-hiking/hikes/gee-point,North Cascades -- Mountain Loop Highway,3.2,5,48.4183,-121.8228
Gem Lake,http://www.wta.org/go-hiking/hikes/gem-lake,Snoqualmie Region -- Snoqualmie Pass,4.31,13,47.4453,-121.4235
Gibbs Lake,http://www.wta.org/go-hiking/hikes/gibbs-lake,Olympic Peninsula -- Hood Canal,3.75,4,47.9704,-122.8108
Gibralter Mountain,http://www.wta.org/go-hiking/hikes/gibralter-mountain,Eastern Washington -- Okanogan Highlands/Kettle River Range,2.0,1,48.5676,-118.6757
Gifford Peak,http://www.wta.org/go-hiking/hikes/gifford-peak,South Cascades -- Mount Adams Area,2.5,6,46.9374,-121.82
Gilbert Peak,http://www.wta.org/go-hiking/hikes/gilbert-peak,South Cascades -- Goat Rocks,0.0,0,46.5164,-121.263
Ginkgo Petrified Forest Interpretive Trails,http://www.wta.org/go-hiking/hikes/gingko-petrified-forest-interpretive-trails,Central Washington -- Potholes Region,3.0,7,46.9477,-120.0358
Ginkgo Petrified Forest State Park Backcountry,http://www.wta.org/go-hiking/hikes/gingko-petrified-forest-backcountry,Central Washington -- Yakima,2.0,4,46.9493,-120.0092
Gisela's Arch,http://www.wta.org/go-hiking/hikes/giselas-arch,South Cascades -- White Pass/Cowlitz River Valley,0.0,0,,
Glacial Heritage Preserve,http://www.wta.org/go-hiking/hikes/glacial-heritage-preserve,Olympic Peninsula -- Olympia,0.0,0,46.8657,-123.0514
Glacier Basin,http://www.wta.org/go-hiking/hikes/glacier-basin-1,North Cascades -- Mountain Loop Highway,3.6,5,47.987,-121.393
Glacier Basin Loop,http://www.wta.org/go-hiking/hikes/glacier-basin-loop,Mount Rainier Area -- NE - Sunrise/White River,0.0,0,46.9021,-121.6437
Glacier Gap,http://www.wta.org/go-hiking/hikes/glacier-gap,North Cascades -- Mountain Loop Highway,0.0,0,,
Glacier Lake,http://www.wta.org/go-hiking/hikes/glacier-lake-1,Snoqualmie Region -- Salmon La Sac/Teanaway,0.0,0,,
Glacier Peak Meadows,http://www.wta.org/go-hiking/hikes/glacier-peak-meadows,North Cascades -- Mountain Loop Highway,0.0,0,48.0293,-121.2893
Glacier View,http://www.wta.org/go-hiking/hikes/glacier-view-1,Mount Rainier Area -- SW - Longmire/Paradise,3.54,13,46.7734,-121.9446
Glacier Vista Snowshoe,http://www.wta.org/go-hiking/hikes/glacier-vista-snowshoe,Mount Rainier Area -- SW - Longmire/Paradise,3.0,5,46.7523,-121.7895
Glacier Vista-Panorama Point,http://www.wta.org/go-hiking/hikes/glacier-vista-panorama-point,Mount Rainier Area -- SW - Longmire/Paradise,4.0,7,46.786,-121.735
Gladys Divide,http://www.wta.org/go-hiking/hikes/gladys-divide-primitive,Olympic Peninsula -- Hood Canal,2.8,5,47.5182,-123.3324
Glasses Lake,http://www.wta.org/go-hiking/hikes/glasses-lake,Central Cascades -- Stevens Pass - East,0.0,0,47.8762,-121.0409
Glines Canyon Overlook Trail,http://www.wta.org/go-hiking/hikes/glines-canyon-overlook-trail,Olympic Peninsula -- Northern Coast,0.0,0,,
Gloyd Seeps - North,http://www.wta.org/go-hiking/hikes/gloyd-seeps-north,Central Washington -- Potholes Region,3.25,4,,
Gloyd Seeps - South,http://www.wta.org/go-hiking/hikes/gloyd-seeps-south,Central Washington -- Potholes Region,2.67,3,,
Goat Creek,http://www.wta.org/go-hiking/hikes/goat-creek-1,South Cascades -- Mount St. Helens,4.17,6,46.4305,-122.1525
Goat Creek Loop,http://www.wta.org/go-hiking/hikes/goat-creek-loop,South Cascades -- Mount St. Helens,2.75,4,46.4306,-122.1528
Goat Falls,http://www.wta.org/go-hiking/hikes/goat-falls,Mount Rainier Area -- Chinook Pass - Hwy 410,3.0,4,46.993,-121.5116
Goat Island,http://www.wta.org/go-hiking/hikes/goat-island,Puget Sound and Islands -- Bellingham Area,0.0,0,,
Goat Island Mountain,http://www.wta.org/go-hiking/hikes/goat-island-mountain,Mount Rainier Area -- NE - Sunrise/White River,4.0,1,46.8882,-121.6106
Goat Lake,http://www.wta.org/go-hiking/hikes/goat-lake-3,Olympic Peninsula,0.0,0,,
Goat Lake-Jordan Basin,http://www.wta.org/go-hiking/hikes/goat-lake-1,South Cascades -- Goat Rocks,4.0,7,46.4669,-121.5274
Goat Marsh Research Area,http://www.wta.org/go-hiking/hikes/goat-marsh-research-area,South Cascades -- Mount St. Helens,0.0,0,,
Goat Mountain,http://www.wta.org/go-hiking/hikes/goat-mountain,North Cascades -- Mount Baker Area,3.33,9,48.8972,-121.6523
Goat Peak,http://www.wta.org/go-hiking/hikes/goat-peak-1,Mount Rainier Area -- Chinook Pass - Hwy 410,3.0,9,46.9641,-121.2675
Goat Peak Lookout,http://www.wta.org/go-hiking/hikes/goat-peak,North Cascades -- Methow/Sawtooth,2.67,12,48.6515,-120.4022
Goat Peak Snowshoe,http://www.wta.org/go-hiking/hikes/goat-peak-snowshoe,Mount Rainier Area -- Chinook Pass - Hwy 410,3.33,3,46.9175,-121.2309
Goat Wall Trail,http://www.wta.org/go-hiking/hikes/goat-wall-trail,North Cascades -- Methow/Sawtooth,0.0,0,48.5938,-120.3985
Gobblers Knob,http://www.wta.org/go-hiking/hikes/gobblers-knob,Mount Rainier Area -- SW - Longmire/Paradise,2.5,6,46.778999999999996,-121.8844
Goddards Peak,http://www.wta.org/go-hiking/hikes/goddards-peak,Eastern Washington -- Selkirk Range,0.0,0,,
Gold Basin Mill Pond Interpretive Trail,http://www.wta.org/go-hiking/hikes/gold-basin-mill-pond-interpretive-trail,North Cascades -- Mountain Loop Highway,0.0,0,48.0877,-121.7695
Gold Creek Pond,http://www.wta.org/go-hiking/hikes/gold-creek-pond,Snoqualmie Region -- Snoqualmie Pass,4.1,10,47.4094,-121.3677
Gold Creek Trail,http://www.wta.org/go-hiking/hikes/gold-creek-trail,Olympic Peninsula -- Kitsap Peninsula,5.0,1,47.5521,-122.8276
Gold Creek-Alaska Lake,http://www.wta.org/go-hiking/hikes/alaska-lake,Snoqualmie Region -- Snoqualmie Pass,2.3,10,47.4011,-121.3738
Gold Lake,http://www.wta.org/go-hiking/hikes/gold-lake,Snoqualmie Region -- Snoqualmie Pass,0.0,0,,
Gold Mine Trail,http://www.wta.org/go-hiking/hikes/gold-mine-trail,Puget Sound and Islands -- Bellingham Area,4.0,1,48.9244,-122.262
Gold Mountain,http://www.wta.org/go-hiking/hikes/gold-mountain,Olympic Peninsula -- Kitsap Peninsula,4.5,6,47.5521,-122.8276
Golden Gate,http://www.wta.org/go-hiking/hikes/golden-gate,Mount Rainier Area -- SW - Longmire/Paradise,3.33,3,46.786,-121.735
Golden Gate Loop,http://www.wta.org/go-hiking/hikes/golden-gate-loop,Mount Rainier Area -- SW - Longmire/Paradise,4.0,1,46.7863,-121.7362
Golden Horn - Snowy Lakes (PCT),http://www.wta.org/go-hiking/hikes/golden-horn,North Cascades -- North Cascades Highway - Hwy 20,3.33,6,48.5156,-120.7362
Golden Stairway,http://www.wta.org/go-hiking/hikes/golden-stairway-1,North Cascades -- Pasayten,2.5,4,48.5673,-119.9042
Goldmyer Hot Springs,http://www.wta.org/go-hiking/hikes/goldmyer-hot-springs,Snoqualmie Region -- North Bend Area,4.0,5,47.5001,-121.4467
Gombu Wilderness Cliffs,http://www.wta.org/go-hiking/hikes/wilderness-cliffs,Issaquah Alps -- Cougar Mountain,2.75,4,47.5143,-122.091
Goode Ridge,http://www.wta.org/go-hiking/hikes/goode-ridge,Central Cascades -- Entiat Mountains/Lake Chelan,3.5,6,48.4326,-120.8811
Goodenough Peak,http://www.wta.org/go-hiking/hikes/goodenough-peak,North Cascades -- Pasayten,0.0,0,,
Goose Butte,http://www.wta.org/go-hiking/hikes/goose-butte,Eastern Washington -- Spokane Area/Coeur d'Alene,4.5,4,47.3008,-118.2523
Goose Lake Plateau,http://www.wta.org/go-hiking/hikes/goose-lakes-plateau,Central Washington -- Potholes Region,3.5,4,,
Gotchen Creek-Aiken Lava Bed East,http://www.wta.org/go-hiking/hikes/gotchen-creek,South Cascades -- Mount Adams Area,2.67,3,46.0932,-121.48
Gothic Basin,http://www.wta.org/go-hiking/hikes/gothic-basin,North Cascades -- Mountain Loop Highway,4.47,49,48.0261,-121.4425
Grace Lakes,http://www.wta.org/go-hiking/hikes/grace-lakes,Central Cascades -- Stevens Pass - West,4.5,4,47.7443,-121.0965
Grand Canyon of Fifteenmile Creek,http://www.wta.org/go-hiking/hikes/grand-canyon-of-fifteenmile-creek,Issaquah Alps -- Tiger Mountain,2.25,4,,
Grand Park,http://www.wta.org/go-hiking/hikes/grand-park,Mount Rainier Area -- NE - Sunrise/White River,4.25,12,46.9963,-121.6413
Grand Ridge,http://www.wta.org/go-hiking/hikes/grand-ridge,Olympic Peninsula -- Northern Coast,4.5,8,47.9184,-123.3821
Grand Ridge Park,http://www.wta.org/go-hiking/hikes/grand-ridge-park,Issaquah Alps,3.33,6,47.5263,-121.9364
Grand Valley,http://www.wta.org/go-hiking/hikes/grand-valley,Olympic Peninsula -- Northern Coast,4.07,15,47.9458,-123.4255
Grand Valley via Grand Pass,http://www.wta.org/go-hiking/hikes/grand-valley-via-grand-pass,Olympic Peninsula -- Northern Coast,4.0,2,47.9396,-123.4195
Granite Lakes Trail,http://www.wta.org/go-hiking/hikes/granite-creek-road-trail,Snoqualmie Region -- North Bend Area,2.33,3,47.4699,-121.6685
Granite Mountain,http://www.wta.org/go-hiking/hikes/granite-mountain,North Cascades -- Mount Baker Area,0.0,0,,
Granite Mountain Potholes,http://www.wta.org/go-hiking/hikes/granite-mtn-potholes,Snoqualmie Region -- Salmon La Sac/Teanaway,0.0,0,,
Granite Mountain Snowshoe,http://www.wta.org/go-hiking/hikes/granite-mountain-snowshoe,Snoqualmie Region -- Snoqualmie Pass,4.0,4,47.3979,-121.4878
Granite and Trico Peaks,http://www.wta.org/go-hiking/hikes/granite-and-trico-peaks,Snoqualmie Region -- Salmon La Sac/Teanaway,0.0,0,,
Grass Camp,http://www.wta.org/go-hiking/hikes/grass-camp,Snoqualmie Region -- Salmon La Sac/Teanaway,4.0,4,47.3135,-120.535
Grass Mountain,http://www.wta.org/go-hiking/hikes/grass-mountain,Mount Rainier Area -- Chinook Pass - Hwy 410,4.0,3,,
Grass Mountain West,http://www.wta.org/go-hiking/hikes/grass-mountain-west,Mount Rainier Area -- Chinook Pass - Hwy 410,2.0,3,,
Grassy Top,http://www.wta.org/go-hiking/hikes/grassy-top,Eastern Washington -- Selkirk Range,3.0,4,48.8064,-117.1945
Graves Creek,http://www.wta.org/go-hiking/hikes/graves-creek,Olympic Peninsula -- Pacific Coast,2.0,5,47.5728,-123.5698
Gray Peak,http://www.wta.org/go-hiking/hikes/gray-peak,North Cascades,0.0,0,48.2674,-120.4643
Green Lake,http://www.wta.org/go-hiking/hikes/green-lake,Mount Rainier Area -- NW - Carbon River/Mowich,3.88,16,46.9924,-121.8506
Green Lantern Trail,http://www.wta.org/go-hiking/hikes/green-lantern-trail,Puget Sound and Islands -- Seattle-Tacoma Area,3.0,1,47.8895,-122.20700000000001
Green Mountain,http://www.wta.org/go-hiking/hikes/green-mountain-3,Snoqualmie Region -- North Bend Area,4.25,4,47.4878,-121.6876
Green Mountain - Gold Creek Trail,http://www.wta.org/go-hiking/hikes/green-mountain-1,Olympic Peninsula -- Kitsap Peninsula,3.8,15,47.5517,-122.8266
Green Mountain - Wildcat Trail,http://www.wta.org/go-hiking/hikes/wildcat-trail,Olympic Peninsula -- Kitsap Peninsula,5.0,1,47.5519,-122.8277
Green River Natural Area - O'Grady Trail,http://www.wta.org/go-hiking/hikes/ogrady,Puget Sound and Islands -- Seattle-Tacoma Area,1.4,5,47.2764,-122.0894
Green to Cedar River Trail,http://www.wta.org/go-hiking/hikes/green-to-cedar-river-trail,Central Cascades,3.8,5,47.3614,-122.0248
Greenbank Farm,http://www.wta.org/go-hiking/hikes/greenbank-farm,Puget Sound and Islands -- Whidbey Island,4.0,3,48.1113,-122.5756
Greenwater  - Quinn - Lost Lakes,http://www.wta.org/go-hiking/hikes/greenwater-lakes-quinn-lost-lakes,Mount Rainier Area -- Chinook Pass - Hwy 410,5.0,1,,
Greenwater and Echo Lakes,http://www.wta.org/go-hiking/hikes/greenwater-lakes,Mount Rainier Area -- Chinook Pass - Hwy 410,3.29,21,47.1059,-121.4751
Greenway Mountain,http://www.wta.org/go-hiking/hikes/greenway-mountain,Snoqualmie Region -- North Bend Area,0.0,0,47.4364,-121.6612
Greider Lakes,http://www.wta.org/go-hiking/hikes/greider-lakes,Central Cascades -- Stevens Pass - West,2.94,17,47.9747,-121.5795
Griffiths-Priday State Park - Copalis River Spit,http://www.wta.org/go-hiking/hikes/copalis-river-spit,Southwest Washington -- Long Beach Area,3.8,5,47.1141,-124.1771
Grindstone Mountain,http://www.wta.org/go-hiking/hikes/grindstone-mountain,Central Cascades -- Leavenworth Area,0.0,0,47.607,-120.8845
Grizzly Bear Ridge,http://www.wta.org/go-hiking/hikes/grizzly-bear-ridge-3103,Eastern Washington -- Palouse and Blue Mountains,0.0,0,46.2001,-117.8164
Grouse Mountain,http://www.wta.org/go-hiking/hikes/grouse-mountain-n-fork-umatilla-wilderness,Eastern Washington -- Palouse and Blue Mountains,0.0,0,,
Grouse Vista Trail,http://www.wta.org/go-hiking/hikes/grouse-vista-trail-180f,Mount Rainier Area,2.0,1,,
Grove of the Patriarchs Loop,http://www.wta.org/go-hiking/hikes/grove-of-the-patriarchs,Mount Rainier Area -- SE - Cayuse Pass/Steven's Canyon,3.18,11,46.758,-121.5576
Guemes Mountain,http://www.wta.org/go-hiking/hikes/guemes-mountain,Puget Sound and Islands -- Bellingham Area,2.5,2,48.5445,-122.5945
Guillemot Cove,http://www.wta.org/go-hiking/hikes/guillemot-cove,Olympic Peninsula -- Kitsap Peninsula,4.0,8,47.61600000000001,-122.9085
Guye Peak,http://www.wta.org/go-hiking/hikes/guye-peak,Snoqualmie Region -- Snoqualmie Pass,3.88,8,47.4418,-121.4225
Hall Mountain,http://www.wta.org/go-hiking/hikes/hall-mountain,Eastern Washington -- Selkirk Range,3.43,7,48.8075,-117.2584
Hall of Mosses,http://www.wta.org/go-hiking/hikes/hall-of-mosses,Olympic Peninsula -- Pacific Coast,4.5,2,47.8536,-123.9512
Hamilton Mountain,http://www.wta.org/go-hiking/hikes/hamilton-mountain,Southwest Washington -- Columbia River Gorge - WA,4.35,17,45.6325,-122.02
Hamlin Park,http://www.wta.org/go-hiking/hikes/hamlin-park-shoreline,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.7466,-122.3102
Han Peak,http://www.wta.org/go-hiking/hikes/han-peak,North Cascades -- Mount Baker Area,0.0,0,,
Haney Meadow Loop Snowshoe,http://www.wta.org/go-hiking/hikes/haney-meadow-loop-snowshoe,Central Cascades -- Blewett Pass,4.5,2,47.3349,-120.5808
Hannegan Pass and Peak,http://www.wta.org/go-hiking/hikes/hannegan-pass-and-peak,North Cascades -- Mount Baker Area,4.0,13,48.9101,-121.5927
Hansville Greenway,http://www.wta.org/go-hiking/hikes/hansville-greenway,Olympic Peninsula -- Kitsap Peninsula,3.75,4,47.908,-122.5562
Happy Lake Ridge,http://www.wta.org/go-hiking/hikes/happy-lake-ridge,Olympic Peninsula -- Northern Coast,2.75,4,47.9776,-123.693
Happy-Panther,http://www.wta.org/go-hiking/hikes/happy-panther,North Cascades -- North Cascades Highway - Hwy 20,2.67,3,48.7268,-121.0611
Hardy Canyon,http://www.wta.org/go-hiking/hikes/hardy-canyon,Central Washington -- Yakima,3.0,5,46.8335,-120.7117
Hardy Creek,http://www.wta.org/go-hiking/hikes/hardy-creek,Southwest Washington -- Columbia River Gorge - WA,2.0,1,45.643,-122.0127
Hardy Ridge,http://www.wta.org/go-hiking/hikes/hardy-ridge,Southwest Washington -- Columbia River Gorge - WA,0.0,0,45.63800000000001,-122.0318
Hardy and Rodney Falls,http://www.wta.org/go-hiking/hikes/hardy-rodney-falls,Southwest Washington -- Columbia River Gorge - WA,3.0,4,45.6325,-122.02
Harmony Falls,http://www.wta.org/go-hiking/hikes/harmony,South Cascades -- Mount St. Helens,4.33,6,46.3045,-122.0819
Harold Engles Memorial Cedars,http://www.wta.org/go-hiking/hikes/harold-engles-memorial-cedars,North Cascades -- Mountain Loop Highway,0.0,0,,
Harris Lake Trail,http://www.wta.org/go-hiking/hikes/harris-lake-trail,Snoqualmie Region -- North Bend Area,0.0,0,47.363,-121.5306
Harrison Lake,http://www.wta.org/go-hiking/hikes/harrison-lake,Olympic Peninsula -- Hood Canal,0.0,0,,
Harry's Ridge,http://www.wta.org/go-hiking/hikes/harrys-ridge,South Cascades -- Mount St. Helens,3.38,13,46.2765,-122.2165
Hat Rock-Yellow Jacket Pass,http://www.wta.org/go-hiking/hikes/yellow-jacket,South Cascades,3.0,4,46.4323,-121.7626
Hawk Creek - Lake Roosevelt NRA,http://www.wta.org/go-hiking/hikes/hawk-creek-lake-roosevelt-nra,Eastern Washington -- Spokane Area/Coeur d'Alene,0.0,0,47.8109,-118.3104
Hawkins Mountain,http://www.wta.org/go-hiking/hikes/hawkins-mountain,Snoqualmie Region -- Salmon La Sac/Teanaway,3.5,2,47.4538,-121.0417
Haystack Mountain,http://www.wta.org/go-hiking/hikes/haystack-mountain,Central Cascades -- Stevens Pass - West,0.0,0,,
Haystack Ridge Lookout Site,http://www.wta.org/go-hiking/hikes/haystack-ridge-lookout-site,Central Cascades -- Stevens Pass - West,0.0,0,,
Hazel Wolf Wetlands,http://www.wta.org/go-hiking/hikes/hazel-wolf-wetlands,Issaquah Alps,3.5,6,47.5991,-122.0083
Headlee Pass and Vesper Lake,http://www.wta.org/go-hiking/hikes/headlee-pass-and-vesper-lake,North Cascades -- Mountain Loop Highway,3.5,10,48.0251,-121.4779
Headquarters Trail,http://www.wta.org/go-hiking/hikes/headquarters-trail,Eastern Washington -- Selkirk Range,0.0,0,48.4617,-117.7319
Heart Lake,http://www.wta.org/go-hiking/hikes/anacortes-community-forest-lands,Puget Sound and Islands -- San Juan Islands,4.0,1,48.4751,-122.6272
Heart O' the Forest,http://www.wta.org/go-hiking/hikes/heart-o-the-forest,Olympic Peninsula -- Northern Coast,2.0,1,48.035,-123.4245
Heather - Maple Pass Loop,http://www.wta.org/go-hiking/hikes/maple-pass,North Cascades -- North Cascades Highway - Hwy 20,4.61,38,48.5162,-120.7354
Heather Creek Trail via Upper Dungeness River,http://www.wta.org/go-hiking/hikes/heather-creek-trail,Olympic Peninsula -- Hood Canal,3.0,1,47.8948,-123.1201
Heather Lake,http://www.wta.org/go-hiking/hikes/heather-lake-1,North Cascades -- Mountain Loop Highway,3.83,65,48.0829,-121.774
Heather Lake (near Lake Wenatchee),http://www.wta.org/go-hiking/hikes/heather-lake,Central Cascades -- Stevens Pass - East,4.0,8,47.8664,-121.0753
Heather Lake Snowshoe,http://www.wta.org/go-hiking/hikes/heather-lake-snowshoe,North Cascades -- Mountain Loop Highway,3.17,6,48.0829,-121.774
Heather Park,http://www.wta.org/go-hiking/hikes/heather-park,Olympic Peninsula -- Northern Coast,3.0,8,48.0391,-123.4319
Hegg-Benson Trail,http://www.wta.org/go-hiking/hikes/hegg-benson-trail,North Cascades -- North Cascades Highway - Hwy 20,0.0,0,,
Heliotrope Ridge,http://www.wta.org/go-hiking/hikes/heliotrope-ridge,North Cascades -- Mount Baker Area,4.25,20,48.8021,-121.8957
Hellroaring Meadows,http://www.wta.org/go-hiking/hikes/hellroaring-meadows,South Cascades -- Mount Adams Area,4.0,1,,
Hemlock Peak,http://www.wta.org/go-hiking/hikes/hemlock-peak,Snoqualmie Region -- Snoqualmie Pass,0.0,0,,
Hemlock Trail,http://www.wta.org/go-hiking/hikes/hemlock-trail,Puget Sound and Islands -- Bellingham Area,0.0,0,48.6979,-122.4781
Herman Creek,http://www.wta.org/go-hiking/hikes/herman-creek,Southwest Washington -- Columbia River Gorge - OR,0.0,0,,
Herman Pass,http://www.wta.org/go-hiking/hikes/herman-pass,North Cascades -- Mount Baker Area,0.0,0,,
Hessong Rock and Mount Pleasant,http://www.wta.org/go-hiking/hikes/hessong-rock-mt-pleasant,Mount Rainier Area -- NW - Carbon River/Mowich,4.0,1,,
Hex Mountain,http://www.wta.org/go-hiking/hikes/hex-mountain-1,Snoqualmie Region -- Salmon La Sac/Teanaway,2.5,2,47.2705,-120.9004
Hex Mountain Snowshoe,http://www.wta.org/go-hiking/hikes/hex-mountain,Snoqualmie Region -- Salmon La Sac/Teanaway,3.89,9,47.285,-121.0914
Heybrook Lookout,http://www.wta.org/go-hiking/hikes/heybrook-lookout,Central Cascades -- Stevens Pass - West,3.37,30,47.8084,-121.5352
Hidden Forest Trail,http://www.wta.org/go-hiking/hikes/hidden-forest,Issaquah Alps -- Tiger Mountain,4.25,4,47.5,-122.0218
Hidden Lake (Lake Wenatchee),http://www.wta.org/go-hiking/hikes/hidden-lake,Central Cascades -- Stevens Pass - East,2.9,10,47.8216,-120.8064
Hidden Lake Lookout,http://www.wta.org/go-hiking/hikes/hidden-lake-lookout,North Cascades -- North Cascades Highway - Hwy 20,4.35,26,48.5148,-121.2152
High Divide - Seven Lakes Basin Loop,http://www.wta.org/go-hiking/hikes/seven-lakes-basin,Olympic Peninsula -- Northern Coast,4.09,11,47.9506,-123.8152
High Hut Snowshoe,http://www.wta.org/go-hiking/hikes/high-hut-mt.-tahoma-trails,Mount Rainier Area -- NW - Carbon River/Mowich,3.0,2,46.6998,-121.9925
